,Site,Plot,Type,Location ,Year,A_ha,S,N,E,B,E_2_3,B_2_3
0,Point Reyes National Seashore Bishop Pines,Mt. Vision,Temperate forest community,California USA,2012,0.0256,27,1844,2223879.0,123940275.0,2223879.0,929450153.0
1,Point Reyes National Seashore Bishop Pines,Bayview,Temperate forest community,California USA,2012,0.0256,16,486,1585384.0,38793345.0,1585384.0,195083816.0
2,Hubbard Brook Experimental Forest,Watershed 6,Temperate trees,New Hampshire USA,2017,13.23,16,10230,55324.3,117597.1,55324.3,177121.1
3,Kellogg Biological Station ,Deciduous Forest 1,Temperate trees,Michigan USA,2018,0.81 estimated,18,259,11105.48,57231.16,11105.48,134466.7
4,Kellogg Biological Station ,Deciduous Forest 2,Temperate trees,Michigan USA,2018,0.5 estimated,10,172,8115.755999999999,43636.65,8115.755999999999,104879.6
5,Kellogg Biological Station ,Deciduous Forest 3,Temperate trees,Michigan USA,2018,0.35 estimated,13,136,2820.0840000000003,10936.14,2820.0840000000003,22266.03
6,SCBI Large Forest Dynamics Plot,Front Royal,Temperate trees,Virginia USA,2012,25.6,68,29986,11102334.0,153035741.0,11102334.0,592182133.0
7,CSIRO permament rainforest plots of North Queensland,EP3,Tropical trees,Queensland Australia,1973,0.5,67,506,4074.955,11131.86,4074.955,19292.99
8,CSIRO permament rainforest plots of North Queensland,EP18,Tropical trees,Queensland Australia,1975,0.5,79,452,3915.177,11332.63,3915.177,20270.64
9,CSIRO permament rainforest plots of North Queensland,EP19,Tropical trees,Queensland Australia,1977,0.5,64,397,2482.458,6218.057,2482.458,10362.29
10,CSIRO permament rainforest plots of North Queensland,EP29,Tropical trees,Queensland Australia,1981,0.5,49,487,2634.2509999999997,5684.630999999999,2634.2509999999997,8668.003
11,CSIRO permament rainforest plots of North Queensland,EP30,Tropical trees,Queensland Australia,1976,0.5,66,552,3737.4120000000003,9528.809000000001,3737.4120000000003,15943.01
12,CSIRO permament rainforest plots of North Queensland,EP31,Tropical trees,Queensland Australia,1978,0.5,47,236,2544.609,8096.39,2544.609,15116.9
13,CSIRO permament rainforest plots of North Queensland,EP32,Tropical trees,Queensland Australia,1983,0.5,51,437,1887.3929999999998,4519.255,1887.3929999999998,7595.75
14,CSIRO permament rainforest plots of North Queensland,EP33,Tropical trees,Queensland Australia,1990,0.5,43,307,4435.325,15840.59,4435.325,32032.39
15,CSIRO permament rainforest plots of North Queensland,EP34,Tropical trees,Queensland Australia,1984,0.5,59,290,3040.91,9044.354,3040.91,16318.1
16,CSIRO permament rainforest plots of North Queensland,EP40,Tropical trees,Queensland Australia,1998,0.5,48,477,3859.423,11095.37,3859.423,19941.36
17,CSIRO permament rainforest plots of North Queensland,EP41,Tropical trees,Queensland Australia,1983,0.5,50,369,2775.138,6739.585,2775.138,10840.03
18,CSIRO permament rainforest plots of North Queensland,EP42,Tropical trees,Queensland Australia,1977,0.5,58,243,2732.4790000000003,9317.053,2732.4790000000003,18082.58
19,CSIRO permament rainforest plots of North Queensland,EP43,Tropical trees,Queensland Australia,1984,0.5,59,385,4151.287,12856.02,4151.287,23767.19
20,CSIRO permament rainforest plots of North Queensland,EP44,Tropical trees,Queensland Australia,1990,0.5,58,443,3779.3909999999996,10811.51,3779.3909999999996,19266.65
21,RMBL,Belleview,Subalpine meadow flora,Colorado USA,2012,0.0064,31,877,917872.0,17532137.0,917872.0,81474199.0
22,BCI,CTFS,Tropical trees,Panama,1982,50,307,235338,23944860.0,405723649.0,23944860.0,1913213810.0
23,Cocoli,CTFS,Tropical trees,Panama,1997,2,171,8290,1717206.0,29636476.0,1717206.0,132037706.0
24,Sherman,CTFS,Tropical trees,Panama,1997,5.96,225,24453,2325982.0,24937441.0,2325982.0,89063010.0
25,Pasoh,CTFS,Tropical trees,Malaysia,1985,50,673,55187,2559037.0,26364916.0,2559037.0,96179116.0
26,UC Santa Cruz,FERC,Temperate forest community,California USA,2006,6,31,8370,10046216.0,223493837.0,10046216.0,1124946208.0
27,Catuba,Catuba,Tropical trees,Brazil,1999,20,156,1009,17760.1,62397.22,17760.1,122046.5
28,Harvard Forest,EMS Tower,Temperate trees,"Massachsetts, USA",1993,1.26,15,759,4953.74,10880.94,4953.74,16552.48
29,Harvard Forest,Lyford mapped tree plot,Temperate trees,"Massachsetts, USA",1969,2.88,24,3696,141101.3,655151.6,141101.3,1474992.0
30,Traunstein Forest Dynamics Plot ,,Temperate trees,Germany,2016,25,29,15758,425993.7,1679991.0,425993.7,3433256.0
31,Hawaii,Volcano (200 y),Tropical arthropods,Hawaii USA,1997,,167,1909,83121.76,424260.2,49565.32,424260.2
32,Hawaii,Lanai (1500 y),Tropical arthropods,Hawaii USA,1997,,156,2253,41210.11,165838.1,26991.72,165838.1
33,Hawaii,Kohala (150 ky),Tropical arthropods,Hawaii USA,1997,,240,6048,87168.36,339471.8,58945.59,339471.8
34,Hawaii,Molokai (1.2 My),Tropical arthropods,Hawaii USA,1997,,227,3865,102189.2,413508.2,65915.06,413508.2
35,Hawaii,Kauai (4My),Tropical arthropods,Hawaii USA,1997,,158,1922,35818.52,137916.7,23893.82,137916.7
